Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Dilli Wali Girlfriend,"Arijit Singh, Sunidhi Chauhan",BollywoodDance,Yeh Jawaani Hai Deewani,9.2/10
Mar Jaayen,Atif Aslam,BollywoodSad,Loveshhuda,9.7/10
I Love My India,"Hariharan, Kavita Krishnamurthy",BollywoodDance,Pardes,8.6/10
O Sahiba O Sahiba,"Kavita Krishnamurthy, Sonu Nigam",BollywoodSad,Dil Hai Tumhaara,8.7/10
O Saaki Saaki,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodDance,Musafir,9.2/10
Let’s Talk About Love,"Manj Musik, Neha Kakkar, Raftaar",BollywoodDance,Baaghi,9.2/10
Satakli,Sukhwinder Singh,BollywoodDance,Happy New Year,9.2/10
Kashmir Main Tu Kanyakumari,"Arijit Singh, Neeti Mohan, Sunidhi Chauhan",BollywoodDance,Chennai Express,9.3/10
Kaala Doreya,Neha Bhasin,Bollywood,Kaalakaandi,9.3/10
Raabta,"Arijit Singh, Hamsika, Joi",BollywoodRomantic,Agent Vinod,9.5/10
Vele,"Shekhar Ravjiani, Vishal Dadlani",BollywoodDance,Student of the Year,9.5/10
440 Volt,Mika Singh,BollywoodDance,Sultan,8.9/10
Aapka Kya Hoga,"Arun Ingle, Mika Singh, Sajid Khan, Shankar Mahadevan, Sunidhi Chauhan",BollywoodDance,Housefull,9.1/10
Tere Ishq Mein Naachenge,"Alisha Chinai, Kumar Sanu, Sapna Mukharji",BollywoodDance,Raja Hindustani,8.7/10
Kisi Ki Muskurahaton Se,Mukesh,BollywoodDance,Anari,9.6/10
Bawara Mann,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Jolly LLB 2,9.3/10
Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",BollywoodDance,Guru,9.6/10
Itna Sannata Kyun Hai,"Aditi Singh Sharma, Amit Mishra",BollywoodDance,Golmaal Again,8.7/10
Desi Look,Kanika Kapoor,BollywoodDance,Ek Paheli Leela,8.7/10
Chamakti Shaam Hai,"Alka Yagnik, Sonu Nigam",BollywoodDance,Yaadein,8.9/10
Sarsariya,"Shashaa Tirupati, Shashwat Singh",BollywoodRomantic,Mohenjo Daro,9.2/10
Jag Soona Soona Lage,,BollywoodSad,Om Shanti Om,9.4/10
Kandhon Se Milte Hain Kandhe,"Hariharan, Kunal Ganjawala, Roop Kumar Rathod, Shankar Mahadevan, Sonu Nigam, Vijay Prakash",BollywoodPatriotic,Lakshya,9.5/10
Deewangi Deewangi,"Rahul Saxena, Shaan, Shreya Ghoshal, Sunidhi Chauhan, Udit Narayan",BollywoodDance,Om Shanti Om,9.3/10
Tareefan Remix,Badshah,BollywoodDance,Veere Di Wedding,9.3/10
Samjhawan,"Arijit Singh, Shreya Ghoshal",BollywoodSad,Humpty Sharma Ki Dulhania,9.4/10
Bam Lahiri,Kailash Kher,BollywoodDance,Shor in the City,9.3/10
Chicken Kuk Doo Koo,"Mohit Chauhan, Palak Muchhal",BollywoodDance,Bajrangi Bhaijaan,8.9/10
Dhating Naach,"Nakash Aziz, Neha Kakkar",BollywoodDance,Phata Poster Nikhla Hero,9.2/10
Tu Itni Khoobsurat Hai,Rahat Fateh Ali Khan,BollywoodSad,Barkhaa,9.5/10
O Priya Priya,"Anuradha Paudwal, Shabbir Kumar",BollywoodSad,Dil,7.6/10
Manchala,"Nupur Pant, Shafqat Amanat Ali",BollywoodSad,Hasee Toh Phasee,9.6/10
Lukka Chuppi,"A.R. Rahman, Lata Mangeshkar",BollywoodSad,Rang De Basanti,9.7/10
Prem Leela,"Aaman Trikha, Vineet Singh",BollywoodDance,Prem Ratan Dhan Payo,8.0/10
Khuda Jaane,"K.K., Shilpa Rao",BollywoodRomantic,Bachna Ae Haseeno,9.4/10
Premika,"Benny Dayal, Kanika Kapoor",BollywoodDance,Dilwale,9.5/10
Tera Mujhse Hai Pehle Ka Naata Koi,"Kishore Kumar, Sushma Shrestha",BollywoodRomantic,Aa Gale Lag Jaa,9.2/10
Character Dheela,"Amrita Kak, Neeraj Shridhar",BollywoodDance,Ready,9.3/10
Munni Badnam Hui,"Aishwarya, Mamta Sharma",BollywoodDance,Dabangg,8.8/10
Saadda Haq,Mohit Chauhan,BollywoodDance,Rockstar,9.4/10
Rehnuma,"Inder Bawra, Shreya Ghoshal",BollywoodRomanticSad,Rocky Handsome,9.5/10
Ilahi,Arijit Singh,BollywoodDance,Yeh Jawaani Hai Deewani,9.5/10
Neendein Khul Jaati Hain,"Kanika Kapoor, Meet Bros, Mika Singh",BollywoodDance,Hate Story 3,9.1/10
Phir Le Aya Dil,Shafqat Amanat Ali,BollywoodSad,Barfi,9.7/10
Main Yahaan Hoon,Udit Narayan,BollywoodDance,Veer Zaara,9.4/10
Soni Soni,"Ishaan, Jaspinder Narula, Manohar Shetty, Pritha Majumdar, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",BollywoodDance,Mohabbatein,9.1/10
Rocket Saiyyan,"Brijesh Shandilya, Ritu Pathak, Tanishk Baagchi",BollywoodDance,Shubh Mangal Saavdhan,8.9/10
Khol De Par,Arijit Singh,Bollywood,Hichki,9.3/10
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mohabbatein,9.1/10
Be Intehaan,"Atif Aslam, Sunidhi Chauhan",BollywoodRomantic,Race 2,9.4/10
Subhanallah,"Shilpa Rao, Sreerama Chandra Mynampati",BollywoodRomantic,Yeh Jawaani Hai Deewani,9.5/10
Dholna,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,9.1/10
Koi Ishaara,Armaan Malik,BollywoodRomanticSad,Force 2,9.6/10
Phir Bhi Dil Hai Hindustani,Udit Narayan,BollywoodDancePatriotic,Phir Bhi Dil Hai Hindustani,9.0/10
Kore Kore Sapne,"Anuradha Paudwal, Kumar Sanu",BollywoodDance,Sooryavansham,8.5/10
Hale Dil,Harshit Saxena,BollywoodRomantic,Murder 2,9.2/10
Aaoge Jab Tum,Rashid Khan,BollywoodSad,Jab We Met,9.3/10
Tinku Jiya,"Javed Ali, Mamta Sharma",BollywoodDance,Yamla Pagla Deewana,9.0/10
Lakshya – Title Track,Shankar Mahadevan,BollywoodMotivationalPatriotic,Lakshya,9.6/10
Pretty Woman,"Ravi Khote, Shankar Mahadevan",BollywoodDance,Kal Ho Naa Ho,9.5/10
Silsila Ye Chaahat Ka,Shreya Ghoshal,BollywoodRomantic,Devdas,9.4/10
Helicopter,"Neha Kakkar, Tony Kakkar",BollywoodDance,Ranchi Diaries,9.3/10
Kabhi Khushi Kabhie Gham,Lata Mangeshkar,BollywoodSad,Kabhi Khushi Kabhie Gham,9.2/10
Chak Lein De,Kailash Kher,BollywoodMotivational,Chandni Chowk To China,9.3/10
Meri Aashiqui Ab Tum Hi Ho,"Arijit Singh, Palak Muchhal",BollywoodRomanticSad,Aashiqui 2,9.5/10
Tere Dware Pe Aai Baraat,"Ravindra Jain, Sudesh Bhosle",BollywoodDance,Vivah,8.1/10
Badi Mushkil Hai,Abhijeet,BollywoodRomance,Anjaam,9.2/10
Toh Dishoom,"Raftaar, Shahid Mallya",BollywoodDance,Dishoom,9.4/10
Kudiye Ni Tere,"Shivangi Bhayana, Udit Narayan",BollywoodRomantic,Happy Phir Bhaag Jayegi,9.5/10
Hu Ba Hu,Amit Trivedi,BollywoodDance,Padman,9.4/10
Kitna Pagal Dil Hai,Kumar Sanu,BollywoodRomantic,Andaaz,8.6/10
Sahiba Russ Gayiya,Rahat Fateh Ali Khan,BollywoodSad,Firangi,9.6/10
Mehfooz,Yasser Desai,BollywoodRomanticSad,Tera Intezaar,9.2/10
Veerey Ki Wedding,Navraj Hans,BollywoodDance,Veerey Ki Wedding,9.2/10
Ek Pal Ka Jeena,Lucky Ali,BollywoodDance,Kaho Naa.... Pyaar Hai,9.2/10
Gori Tu Latth Maar,"Palak Muchhal, Sonu Nigam",BollywoodRomantic,Toilet Ek Prem Katha,9.2/10
Jal Rahin Hain,Kailash Kher,Bollywood,Bahubali - The Beginning,8.9/10
Tum Jo Mile,Armaan Malik,BollywoodRomantic,Saansein,9.6/10
Saathiya Tune Kya Kiya,"K. S. Chithra, S.P. Balasubrahmanyam",BollywoodDance,Love,9.3/10
Humne Pee Rakhi Hai,"Ikka, Jaz Dhami, Neha Kakkar",BollywoodDance,Sanam Re,9.0/10
Bheegi Si Bhaagi Si,Mohit Chauhan,BollywoodRomance,Raajneeti,9.6/10
Chura Liya Hai,Mohammed Rafi,BollywoodRomantic,Yaadon Ki Barat,9.0/10
Right Now Now,"Sunidhi Chauhan, Suzanne D'Mello, Wajid",BollywoodDance,Housefull 2,9.2/10
Crazy Kiya Re,Sunidhi Chauhan,BollywoodDance,Dhoom 2,9.3/10
Ziddi Dil,Vishal Dadlani,BollywoodMotivational,Mary Kom,9.4/10
Abhi Abhi,K.K.,BollywoodRomanticSad,Jism 2,8.7/10
Bahara,"Shreya Ghoshal, Sona Mohapatra",BollywoodRomantic,I Hate Luv Storys,9.6/10
Dekh Lena,"Arijit Singh, Tulsi Kumar",BollywoodRomantic,Tum Bin 2,9.3/10
Dheere Dheere Se Meri Zindagi Mein Aana,"Anuradha Paudwal, Kumar Sanu",Bollywood,Aashiqui,8.9/10
Tu Zaroori,"Sharib Sabri, Sunidhi Chauhan",BollywoodRomantic,ZiD,9.3/10
Afeemi,"Jigar Saraiya, Sanah Moidutty",BollywoodRomantic,Meri Pyaari Bindu,9.5/10
Salaam E Ishq,"Kunal Ganjawala, Sadhana Sargam, Shankar, Shreya Ghosal, Sonu Nigam",BollywoodDance,Salaam-E-Ishq,9.5/10
Naughty Billo,"Diljit Dosanjh, Nakash Aziz, Shilpi Paul",BollywoodDance,Phillauri,9.0/10
Behka,Vibha Saraf,BollywoodDance,High Jack,9.5/10
Pyar Ke Liye,Alka Yagnik,BollywoodRomantic,Dil Kya Kare,9.2/10
Dil Na Diya,Kunal Ganjawala,BollywoodDance,Krrish,8.8/10
Sukoon Mila,Arijit Singh,BollywoodRomantic,Mary Kom,9.6/10
Dil To Pagal Hai,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,8.7/10
Do Anjaane Ajnabi,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah,8.3/10
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,BollywoodRomantic,Rab Ne Bana Di Jodi,9.3/10
Palki Mein Hoke Sawar Chali Re,Alka Yagnik,BollywoodDance,Khal Nayak,8.4/10
Andekhi Anjaani,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!,9.1/10
Dhinka Chika,"Amrita Kak, Mika Singh",BollywoodDance,Ready,8.3/10
Main Agar,Atif Aslam,BollywoodRomantic,Tubelight,9.6/10
Kyon,"Papon, Sunidhi Chauhan",BollywoodRomantic,Barfi,9.6/10
Tera Mera Milna,"Himesh Reshammiya, Shreya Ghoshal",BollywoodSad,Aap Kaa Surroor,8.9/10
Daayre,Arijit Singh,BollywoodRomantic,Dilwale,9.5/10
Sahiba,"Pawni Pandey, Romy",BollywoodSad,Phillauri,9.5/10
Saajan Saajan,"Alka Yagnik, Kumar Sanu, Udit Narayan",BollywoodDanceRomantic,Dil Ka Rishta,8.8/10
Aisa Des Hai Mera,"Gurdas Maan, Lata Mangeshkar, Preetha Mazumdar, Udit Narayan",BollywoodPatriotic,Veer Zaara,9.0/10
Lost Without You,"Ami Mishra, Anushka Shahaney",BollywoodSad,Half Girlfriend,9.6/10
Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",BollywoodRomanticSad,Rustom,9.6/10
Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",BollywoodDance,Bareilly Ki Barfi,9.6/10
Aaj Kehna Zaroori Hai,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Andaaz,8.7/10
Ye Toh Sach Hai Ke Bhagwan,Hariharan,BollywoodDance,Hum Saath-Saath Hain,8.5/10
Dastaan-e-Om Shanti Om,Shaan,BollywoodDance,Om Shanti Om,9.5/10
Saanson Ke,K.K.,BollywoodSad,Raees,9.6/10
O Jiji,"Pamela Jain, Shreya Ghoshal",BollywoodDance,Vivah,8.2/10
Hug Me,"Kanika Kapoor, Raghav Sachar",BollywoodDance,Beiimaan Love,9.1/10
Halkat Jawani,Sunidhi Chauhan,BollywoodDance,Heroine,9.3/10
Ek Dil Hai,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ek Rishtaa,8.6/10
Black Jama Hai,Sukhwinder Singh,Bollywood,Raid,9.3/10
Confused Lover,"Aaniya, Mika Singh",BollywoodDance,Teri Bhabhi Hai Pagle,9.5/10
Tumse Milne Ki Tamanna Hai,S.P. Balasubrahmanyam,BollywoodDance,Saajan,9.1/10
Afsana,"Himesh Reshammiya, Tulsi Kumar",BollywoodDance,Dil Diya Hai,9.2/10
Naina,"Armaan Malik, Sona Mohapatra",BollywoodRomanticSad,Khoobsurat,9.6/10
Naina,"Armaan Malik, Sona Mohapatra",BollywoodSad,Khoobsurat,9.6/10
Dil Mein Dard Sa Jaga Hai,"Alka Yagnik, Udit Narayan",BollywoodDance,Kranti,8.8/10
Anarkali Disco Chali,"Mamta Sharma, Sukhwinder Singh",BollywoodDance,Housefull 2,8.8/10
Jab Dil Miley,"Asha Bhosle, Udit Narayan",BollywoodDance,Yaadein,9.1/10
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mohabbatein,9.0/10
Make Some Noise For The Desi Boyz,"Bob, K.K.",BollywoodDance,Desi Boyz,9.3/10
Aga Bhai,Monali Thakur,BollywoodDance,Aiyyaa,9.1/10
Sehmi Hai Dhadkan,Atif Aslam,BollywoodSad,Daas Dev,9.7/10
Jawaani Le Doobi,"Kanika Kapoor, Uvie",BollywoodDance,Kyaa Kool Hain Hum 3,9.0/10
Humko Tumse Pyar Hai,Abhijeet,BollywoodDance,Ishq,9.1/10
Sadda Move,"Diljit Dosanjh, Pardeep Singh Sran",BollywoodDance,Raabta,9.2/10
Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Raaz,9.6/10
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",BollywoodDance,Sonu Ke Titu Ki Sweety,9.4/10
Dhoom Machale,Sunidhi Chauhan,BollywoodDanceRomantic,Dhoom,9.0/10
Door Na Ja,Sonu Nigam,BollywoodSad,Mitron,9.7/10
Ishq Shava,"Raghav Mathur, Shilpa Rao",BollywoodDance,Jab Tak Hai Jaan,9.4/10
Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",BollywoodDance,Boss,9.3/10
Tum Ko Dekha To Yeh Khayal Aya,"Chitra Singh, Jagjit Singh",BollywoodRomantic,Saath Saath,9.2/10
Jaane Nahi Denge Tujhe,Sonu Nigam,BollywoodSad,3 Idiots,9.1/10
Tadap Tadap,"Dominique, K.K.",BollywoodSad,Hum Dil De Chuke Sanam,8.9/10
Senti Wali Mental,"Amit Trivedi, Arijit Singh, Neeti Mohan, Swanand Kirkire",BollywoodDance,Shaandaar,9.3/10
Sapna Jahan,"Neeti Mohan, Sonu Nigam",BollywoodSad,Brothers,9.7/10
Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",BollywoodDance,Hum Se Hai Muqabala,9.4/10
Tere Bina,"Arijit Singh, Priya Saraiya",BollywoodRomantic,Haseena Parkar,8.9/10
Hoor,Atif Aslam,BollywoodSad,Hindi Medium,9.3/10
Chhoti Chhoti Raatein,"Anuradha Paudwal, Sonu Nigam",BollywoodDanceRomantic,Tum Bin,8.8/10
Sanson Ki Zarurat Hai Jaise,Kumar Sanu,BollywoodRomantic,Aashiqui,9.0/10
Zoobi Doobi,"Shreya Ghoshal, Sonu Nigam",BollywoodDanceRomantic,3 Idiots,9.1/10
Mannat,"Keerthi Sagathia, Shreya Ghoshal, Sonu Nigam",BollywoodDance,Daawat e Ishq,9.3/10
Intezaar,Shreya Ghoshal,BollywoodSad,Tera Intezaar,9.2/10
Agar Tu Hota,Ankit Tiwari,BollywoodSad,Baaghi,9.5/10
Hai Dil,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Dil Ka Rishta,8.8/10
Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",BollywoodSad,Soorma,9.7/10
Ishtehaar,"Dhvani Bhanushali, Rahat Fateh Ali Khan",BollywoodSad,Welcome To New York,9.4/10
Twist,Neeraj Shridhar,BollywoodDance,Love Aj Kal,9.2/10
You’re My Life,"Earl, Shaan, Shweta Pandit, Suzanne D'Mello",BollywoodDanceRomantic,Partner,9.0/10
Mat Maari,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,R... Rajkumar,8.9/10
Mujhse Juda Hokar,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodSad,Hum Aapke Hain Koun,8.6/10
Second Hand Jawaani,"Miss Pooja, Nakkash Aziz, Neha Kakkar",BollywoodDance,Cocktail,9.1/10
Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodSad,Dangerous Ishq,9.0/10
Tere Naina,"Shafqat Amanat Ali, Shankar Ehsaan Loy",BollywoodRomantic,My Name is Khan,9.6/10
Haathon Mein Thhe Haath,"Aditi Singh Sharma, Altamash Faridi, Arpita Mukherjee, Papon",BollywoodSad,Mubarakan,9.4/10
Gajanana,"Shreyas Puranik, Sukhwinder Singh",BollywoodDevotional,Bajirao Mastani,9.3/10
Tum Mile,Neeraj Shridhar,BollywoodRomantic,Tum Mile,9.5/10
Meri Khamoshi Hai,Ishan Mitra,BollywoodSad,Pari,9.6/10
Oh My Darling,"Alisha Chinai, Sonu Nigam",BollywoodDance,Mujhse Dosti Karoge!,9.1/10
Nainon Men Sapna,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Himmatwala,7.3/10
Tu Jo Hain,Ankit Tiwari,BollywoodRomanticSad,Mr. X,9.5/10
Dheere Dheere Bol Koi Sun Na Le,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Gora Aur Kala,8.2/10
Mohenjo Daro,"A.R. Rahman, Arijit Singh, Bela Shende, Sanah Moidutty",BollywoodDance,Mohenjo Daro,9.0/10
Jai Jai Shiv Shankar,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Aap Ki Kasam,8.4/10
Ladki Kyon Na Jane Kyon,"Alka Yagnik, Shaan",BollywoodDance,Hum Tum,9.4/10
Drama Queen,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Hasee Toh Phasee,9.5/10
Khaike Paan Banaras Wala,Kishore Kumar,BollywoodDance,Don,8.5/10
Tu Hi Haqeeqat,"Irshan Ashraf, Javed Ali, Shadaab Faridi",BollywoodRomantic,Tum Mile,9.5/10
Tune Maari Entriyaan (Bangla Version),"Bappi Lahiri, Monali Thakur",BollywoodDance,Gunday,8.8/10
Gudgudi,Sunidhi Chauhan,Bollywood,Secret Superstar,9.3/10
Yeh Kaisi Jagah,"Deepali Sathe, Zubeen Garg",BollywoodSad,Hamari Adhuri Kahani,9.5/10
Bass Gira De Raja,Shashwat Sachdev,Bollywood,Veere Di Wedding,8.1/10
Wada Karle Sajna Tere Bina,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Haath Ki Safai,8.7/10
Jhalla Wallah,Shreya Ghoshal,BollywoodDance,Ishaqzaade,9.1/10
Hamesha Tumko Chaha,"Kavita Krishnamurthy, Udit Narayan",BollywoodSad,Devdas,9.2/10
Mujhko Barsaat Bana Lo,Armaan Malik,BollywoodRomantic,Junooniyat,9.3/10
Aaya Tere Dar Par,"Ahmed Hussain, Javed Hussain, Mohd Vakil, Mohd. Hussain",BollywoodDevotional,Veer Zaara,9.3/10
Ho Nahi Sakta,Udit Narayan,BollywoodRomantic,Diljale,8.7/10
Saale Sapne,Mohit Chauhan,Bollywood,Padman,9.5/10
Kaun Tujhe,Armaan Malik,BollywoodRomantic,M.S. Dhoni-The Untold Story,9.6/10
Tere Liye,"Atif Aslam, Shreya Ghoshal",BollywoodDance,Prince,9.1/10
Tu Isaq Mera,"Meet Bros, Neha Kakkar",BollywoodRomanticSensual,Hate Story 3,9.0/10
Shaam Shaandaar,Amit Trivedi,BollywoodDance,Shaandaar,9.3/10
Banjaara,Sukhwinder Singh,BollywoodDanceRomantic,Ek Tha Tiger,9.1/10
Akkha India Janta Hai,Kumar Sanu,BollywoodRomantic,Jaan Tere Naam,8.2/10
Tharki Chokro,Swaroop Khan,BollywoodDance,PK,8.6/10
Phir Se,"Nikhil Dsouza, Shreya Ghoshal",Bollywood,Phir Se,9.5/10
Gale Lag Ja,"Banjyotsna, Javed Ali",BollywoodDanceSensual,De Dana Dan,9.4/10
Aadat (Juda Hoke Bhi),Atif Aslam,BollywoodSad,Kalyug,9.3/10
Jane Kaise Kab Kahan Iqrar Ho Gaya,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Shakti,8.9/10
Agar Tum Mil Jao,Shreya Ghoshal,BollywoodRomantic,Zeher,8.9/10
Kaara Fankaara,"A.R. Rahman, Aaryan Dinesh Kanagaratnam, Ashima Mahajan, Hard Kaur, Kaly, Paroma Dasgupta, Shashaa Tirupati",BollywoodDance,Ok Jaanu,9.3/10
Chokra Jawaan,"Sunidhi Chauhan, Vishal Dadlani",BollywoodDance,Ishaqzaade,9.1/10
Didi Tera Devar Deewana,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodDance,Hum Aapke Hain Koun,7.9/10
Saiyan Re,"Mohammed Irfan, Palak Muchhal",BollywoodRomantic,Nirdosh,9.7/10
Pal Pal Dil Ke Paas,Kishore Kumar,BollywoodRomantic,Blackmail,8.8/10
Rail Gaddi,"Navraj Hans, Swati Sharrma",BollywoodDance,Tutak Tutak Tutiya,9.1/10
Ek Din Bik Jayega Mati Ke Mol,Mukesh,BollywoodDance,Dharam Karam,9.1/10
Main Koi Aisa Geet,Abhijeet,BollywoodDance,Yes Boss,9.4/10
Yeh Ishq Hai,Shreya Ghoshal,BollywoodDance,Jab We Met,9.4/10
Alizeh,"Alizeh Ash King, Arijit Singh, Shashwat Singh",BollywoodRomantic,Ae Dil Hai Mushkil,9.7/10
Kaho Na Kaho,Amir Jamal,BollywoodRomanticSensual,Murder,9.1/10
Imli Ka Boota,"Mohammad Aziz, Sudesh Bhonsle",Bollywood,Saudagar,8.4/10
Hey Shona,"Shaan, Sunidhi Chauhan",BollywoodDanceRomantic,Tara Rum Pum,9.3/10
Chalte Chalte,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",BollywoodDance,Mohabbatein,9.2/10
Iktara,"Amit Trivedi, Amitabh Bhattacharya, Kavita Seth",BollywoodRomantic,Wake Up Sid,9.6/10
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,BollywoodRomantic,Anpadh,9.2/10
Tu Chahiye,Atif Aslam,BollywoodRomantic,Bajrangi Bhaijaan,9.3/10
Ole Ole,Abhijeet,BollywoodDance,Ye Dillagi,9.1/10
Tutak Tutak Tutiya,"Kanika Kapoor, Malkit Singh, Sonu Sood",BollywoodDance,Tutak Tutak Tutiya,8.9/10
Meri Duniya Tu Hi Re,"Shaan, Shankar Mahadevan, Sonu Nigam",BollywoodDance,Heyy Babyy,9.0/10
Mujhko Yaad Sataye Teri,Himesh Reshammiya,BollywoodDance,Phir Hera Pheri,9.2/10
Jane Kahan Gaye Woh Din,Mukesh,BollywoodSad,Mera Naam Joker,8.8/10
Nonsense Ki Night,Mika Singh,BollywoodDance,Happy New Year,9.2/10
Daaru Desi,"Benny Dayal, Shalmali Kholgade",BollywoodDance,Cocktail,9.4/10
Fugly Fugly Kya Hai,Yo Yo Honey Singh,BollywoodDance,Fugly,9.4/10
Buddhu Sa Mann,"Amaal Mallik, Armaan Malik",BollywoodDance,Kapoor & Sons,9.4/10
Jiska Mujhe Tha Intezar,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Don,8.2/10
Raat Ka Nasha,K. S. Chithra,BollywoodDance,Asoka,9.3/10
Zara Zara Touch Me,Monali Thakur,BollywoodDanceSensual,Race,9.3/10
Wada Karo Nahi Chodoge,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Aa Gale Lag Jaa,9.1/10
Sajde,"Arijit Singh, Gulzar, Nihira Joshi Deshpande",BollywoodRomantic,Kill Dil,9.4/10
Khair Mangda,Atif Aslam,BollywoodSad,A Flying Jatt,9.3/10
Tere Naal Ishqa,Kailash Kher,BollywoodSad,Shivaay,9.4/10
Na Na Na Re,"Daler Mehndi, Sudesh Bhonsle",BollywoodDance,Mrityudaata,8.8/10
Tum Aa Gaye Ho Noor Aa Gaya Hai,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Aandhi,9.0/10
Mujeh Naulakha Mangade,"Bappi Lahiri, Kishore Kumar",BollywoodDance,Sharaabi,7.6/10
Ainvayi Ainvayi,"Salim Merchant, Sunidhi Chauhan",BollywoodDance,Band Baaja Baaraat,9.3/10
Awaaz Deke,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Professor,8.3/10
Tum Tak,"A.R. Rahman, A.V. Pooja, Javed Ali, Kirti Sagathia",BollywoodDanceRomantic,Raanjhanaa,9.4/10
Chitta Ve,"Babu Haabi, Bhanu Pratap, Shahid Mallya",BollywoodDance,Udta Punjab,8.9/10
Get Up Jawani,"Badshah, Yo Yo Honey Singh",BollywoodDance,International Villager,9.4/10
Ji Huzoori,"Deepali, Mithoon",BollywoodRomantic,Ki & Ka,9.3/10
Dhingana,Mikha Singh,BollywoodDance,Raees,9.3/10
Sapna,Arijit Singh,BollywoodSad,Parmanu The Story of Pokhran,9.7/10
Bandeyaa,Jubin Nautiyal,BollywoodSad,Jazbaa,9.5/10
Maula Mere Lele Meri Jaan,"Krishna Beura, Salim Merchant",BollywoodDevotionalSad,Chak De India,9.6/10
Rang De Basanti,"Daler Mehndi, K. S. Chithra",BollywoodDancePatriotic,Rang De Basanti,9.4/10
Kundali,"Anita Gandharva, Meenal Jain, Meghna Mishra, Rani Kaur, Vaishnavi Mishra, Yashika Sikka, Yashita Sharma",BollywoodDance,Manmarziyaan,9.2/10
Shuru Kar,"Amit Mishra, Neha Bhasin, Rochak Kohli",BollywoodDance,Aiyaary,9.3/10
Je T’aime,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Befikre,9.5/10
Tooh,"Mamta Sharma, Mika Singh, Shekhar, Vishal",BollywoodDance,Gori Tere Pyaar Mein,9.3/10
Main Tera Dhadkan Teri,"Hard Kaur, K.K., Sunidhi Chauhan",BollywoodDance,Ajab Prem Ki Ghazab Kahani,9.5/10
Le Gayi,Asha Bhosle,BollywoodDance,Dil Toh Pagal Hai,9.3/10
Le Gayi,Asha Bhosle,BollywoodDance,Dil To Pagal Hai,9.3/10
Aankhein Khuli,"Ishaan, Lata Mangeshkar, Manohar Shetty, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",BollywoodDance,Mohabbatein,9.2/10
Rang Barse,Amitabh Bachchan,BollywoodDance,Silsila,8.2/10
Gawah Hai Chand Tare,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Damini,8.5/10
Aisa Kyun Maa,Sunidhi Chauhan,BollywoodSad,Neerja,9.7/10
Tu Hi Re,Hariharan,BollywoodRomantic,,9.4/10
Mera Mann Kehne Laga,Falak Shabir,BollywoodDance,Nautanki Saala,9.6/10
Shut Up & Bounce,"Sunidhi Chauhan, Vishal Dadlani",BollywoodRomantic,Dostana,9.2/10
